
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,3,4,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,19,20,19,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,27,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,17,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,25,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,35,36,37,38,0,0,0,0,0,0,17,18,17,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,43,44,45,46,0,0,0,0,0,0,25,26,25,
0,0,0,0,0,0,17,18,17,18,0,0,0,0,0,0,0,49,50,51,52,53,54,0,0,0,0,0,0,17,17,18,
0,0,0,0,0,0,25,26,25,26,0,0,0,0,0,0,0,57,58,59,60,61,62,0,0,0,0,0,0,25,25,26,
0,0,0,0,0,0,17,18,17,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,18,17,
0,0,0,0,0,0,25,26,25,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,26,25,
0,0,0,0,0,0,17,18,17,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,17,17,
0,0,0,0,0,0,25,26,25,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,25,25,
0,0,0,0,17,18,19,20,17,18,17,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,20,17,
0,0,0,0,25,26,27,28,25,26,25,26,9,10,0,0,0,0,0,3,0,0,0,0,0,0,0,9,10,27,28,25,
3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,7,8,3,4,3,4,3,4,3,4,3,5,6,4,3,4,
11,12,11,12,11,12,11,12,11,12,11,12,11,12,11,12,15,16,11,12,11,12,11,12,11,12,11,13,14,12,11,12
